******** Evaluation **********
non-SMOTE
	 Bin#0,	 Bin#1,	 Bin#2,	 Bin#3,	 Bin#4,	 Bin#5,	 Bin#6,	 Bin#7,	 Bin#8,	 Bin#9,
Fscore_median:
	 0.54375,	 0.52173,	 0.54317,	 0.53266,	 0.53246,	 0.54785,	 0.52397,	 0.54071,	 0.54321,	 0.53202,
recall_median:
	 0.72428,	 0.69008,	 0.72294,	 0.71245,	 0.70293,	 0.72321,	 0.69528,	 0.72926,	 0.73160,	 0.71366,
precision_median:
	 0.43467,	 0.42268,	 0.43236,	 0.42526,	 0.43008,	 0.44032,	 0.41688,	 0.43008,	 0.43094,	 0.42287,
iqr_Fscore:
	 0.03167,	 0.03368,	 0.03415,	 0.02433,	 0.02328,	 0.03679,	 0.02762,	 0.02208,	 0.02103,	 0.02935,
iqr_recall:
	 0.03937,	 0.04219,	 0.03832,	 0.03974,	 0.02768,	 0.03338,	 0.03263,	 0.03457,	 0.02607,	 0.04448,
iqr_precisions:
	 0.03431,	 0.03185,	 0.03861,	 0.01977,	 0.02921,	 0.03594,	 0.02826,	 0.02824,	 0.03042,	 0.02875,
******** Evaluation **********
SMOTE
	 Bin#0,	 Bin#1,	 Bin#2,	 Bin#3,	 Bin#4,	 Bin#5,	 Bin#6,	 Bin#7,	 Bin#8,	 Bin#9,
Fscore_median:
	 0.53228,	 0.51177,	 0.53666,	 0.52144,	 0.52397,	 0.52848,	 0.50498,	 0.52914,	 0.53291,	 0.52598,
recall_median:
	 0.73840,	 0.70042,	 0.73504,	 0.71635,	 0.71171,	 0.73391,	 0.70213,	 0.73362,	 0.73451,	 0.71486,
precision_median:
	 0.41981,	 0.40447,	 0.42019,	 0.41045,	 0.41710,	 0.41262,	 0.39454,	 0.41562,	 0.42092,	 0.40988,
iqr_Fscore:
	 0.01766,	 0.02812,	 0.02989,	 0.02640,	 0.02821,	 0.03163,	 0.02675,	 0.02776,	 0.03685,	 0.03004,
iqr_recall:
	 0.03215,	 0.03494,	 0.03936,	 0.03374,	 0.03701,	 0.03452,	 0.03720,	 0.02841,	 0.03087,	 0.03712,
iqr_precisions:
	 0.02265,	 0.03375,	 0.03304,	 0.02372,	 0.03231,	 0.03430,	 0.02801,	 0.03502,	 0.03656,	 0.03846,
