******** Evaluation **********
non-SMOTE
	 Bin#0,	 Bin#1,	 Bin#2,	 Bin#3,	 Bin#4,	 Bin#5,	 Bin#6,	 Bin#7,	 Bin#8,	 Bin#9,
Fscore_median:
	 0.72803,	 0.72079,	 0.73022,	 0.72463,	 0.72509,	 0.72727,	 0.73319,	 0.73622,	 0.73770,	 0.72614,
recall_median:
	 0.77982,	 0.75949,	 0.76923,	 0.76327,	 0.76190,	 0.76786,	 0.77232,	 0.77551,	 0.77982,	 0.77406,
precision_median:
	 0.68852,	 0.68803,	 0.68627,	 0.69076,	 0.69600,	 0.69328,	 0.69231,	 0.69636,	 0.70139,	 0.68635,
iqr_Fscore:
	 0.03015,	 0.02897,	 0.02008,	 0.03445,	 0.02885,	 0.03077,	 0.03277,	 0.02720,	 0.02530,	 0.02706,
iqr_recall:
	 0.03531,	 0.03516,	 0.02979,	 0.04514,	 0.03055,	 0.04742,	 0.03021,	 0.03097,	 0.03896,	 0.03404,
iqr_precisions:
	 0.02978,	 0.05027,	 0.03771,	 0.05074,	 0.04103,	 0.04504,	 0.04437,	 0.03272,	 0.03566,	 0.03521,
******** Evaluation **********
SMOTE
	 Bin#0,	 Bin#1,	 Bin#2,	 Bin#3,	 Bin#4,	 Bin#5,	 Bin#6,	 Bin#7,	 Bin#8,	 Bin#9,
Fscore_median:
	 0.69865,	 0.69469,	 0.69409,	 0.69581,	 0.69758,	 0.70168,	 0.69244,	 0.69337,	 0.69841,	 0.69216,
recall_median:
	 0.80000,	 0.81250,	 0.81223,	 0.80162,	 0.80591,	 0.81057,	 0.81223,	 0.81328,	 0.81481,	 0.81435,
precision_median:
	 0.61424,	 0.60443,	 0.60952,	 0.61091,	 0.61342,	 0.61039,	 0.60234,	 0.60550,	 0.60759,	 0.59932,
iqr_Fscore:
	 0.03304,	 0.03005,	 0.03576,	 0.02829,	 0.02316,	 0.02813,	 0.03452,	 0.03539,	 0.02998,	 0.03169,
iqr_recall:
	 0.03224,	 0.04296,	 0.02553,	 0.03249,	 0.04149,	 0.03581,	 0.03970,	 0.03175,	 0.03318,	 0.03519,
iqr_precisions:
	 0.04066,	 0.03657,	 0.04594,	 0.03664,	 0.03370,	 0.03178,	 0.04782,	 0.04085,	 0.02917,	 0.04142,
