******** Evaluation **********
non-SMOTE
	 Bin#0,	 Bin#1,	 Bin#2,	 Bin#3,	 Bin#4,	 Bin#5,	 Bin#6,	 Bin#7,	 Bin#8,	 Bin#9,
Fscore_median:
	 0.66514,	 0.67187,	 0.66836,	 0.66348,	 0.68337,	 0.68571,	 0.67684,	 0.65994,	 0.67132,	 0.67149,
recall_median:
	 0.59917,	 0.60181,	 0.60092,	 0.59259,	 0.62445,	 0.62009,	 0.61317,	 0.59592,	 0.59910,	 0.60669,
precision_median:
	 0.74627,	 0.76289,	 0.75581,	 0.75130,	 0.76243,	 0.75773,	 0.75862,	 0.73737,	 0.75916,	 0.75843,
iqr_Fscore:
	 0.03186,	 0.02696,	 0.02384,	 0.03241,	 0.03377,	 0.02655,	 0.03135,	 0.03160,	 0.04190,	 0.04156,
iqr_recall:
	 0.03961,	 0.02898,	 0.02208,	 0.04174,	 0.04704,	 0.03536,	 0.05576,	 0.04415,	 0.05685,	 0.04910,
iqr_precisions:
	 0.03880,	 0.03987,	 0.03180,	 0.03691,	 0.04239,	 0.04072,	 0.04052,	 0.03902,	 0.04490,	 0.03686,
******** Evaluation **********
SMOTE
	 Bin#0,	 Bin#1,	 Bin#2,	 Bin#3,	 Bin#4,	 Bin#5,	 Bin#6,	 Bin#7,	 Bin#8,	 Bin#9,
Fscore_median:
	 0.72302,	 0.71944,	 0.72354,	 0.73153,	 0.73263,	 0.73076,	 0.72125,	 0.71453,	 0.72619,	 0.72992,
recall_median:
	 0.89873,	 0.88477,	 0.88987,	 0.90308,	 0.89583,	 0.89720,	 0.89362,	 0.89270,	 0.89787,	 0.89787,
precision_median:
	 0.60490,	 0.60282,	 0.61064,	 0.61236,	 0.62029,	 0.61515,	 0.60714,	 0.59722,	 0.60807,	 0.61494,
iqr_Fscore:
	 0.02492,	 0.03726,	 0.03638,	 0.03018,	 0.03255,	 0.02240,	 0.02815,	 0.03705,	 0.03080,	 0.02292,
iqr_recall:
	 0.02679,	 0.02619,	 0.02178,	 0.03022,	 0.02535,	 0.03102,	 0.02451,	 0.02683,	 0.02896,	 0.02785,
iqr_precisions:
	 0.03036,	 0.05329,	 0.04540,	 0.03672,	 0.03335,	 0.03388,	 0.03584,	 0.04296,	 0.03605,	 0.03486,
